HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
제2025-68호,450 (mg/일),450 (mg/일),mg/일,라임카카오추출복합물(제2025-68호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2025-69호,"5,000,000,000 (CFU/일)","5,000,000,000 (CFU/일)",CFU/일,Lacticaseibacillus paracasei HY7017 프로바이오틱스(제2025-69호),"(1) 영·유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(5) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음","(국문) 면역기능 증진에 도움을 줄 수 있음
(영문) May help to improve immune function"
제2025-6호,"5,000,000,000 (CFU/일)","5,000,000,000 (CFU/일)",CFU/일,Lactilactobacillus curvatus LB-P9 프로바이오틱스(제2025-6호),"(1) 영·유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정 질환(알레르기 체질 등)이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것","(국문) 모발상태(윤기·탄력) 개선에 도움을 줄 수 있음
(영문) May help to improve hair condition(luster·elasticity)"
제2025-70호,24 (mg/일),24 (mg/일),mg/일,마리골드꽃주정추출물(지아잔틴함유)(제2025-70호),「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름,「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름
제2025-71호,150 (mg/일),150 (mg/일),mg/일,Akkermansia muciniphila HB05 열처리배양건조물(HB05P)(제2025-71호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 노화로 인해 감소될 수 있는 근력 유지에 도움을 줄 수 있음
(영문) May help to maintain muscle strength which can be affected by aging"
제2025-72호,150 (mg/일),150 (mg/일),mg/일,Akkermansia muciniphila HB05 열처리배양건조물(HB05P)(제2025-72호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 노화로 인해 감소될 수 있는 근력 유지에 도움을 줄 수 있음
(영문) May help to maintain muscle strength which can be affected by aging"
제2025-7호,12 (mg/일),12 (mg/일),mg/일,마리골드꽃추출물(지아잔틴함유)(제2025-7호),「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름,「건강기능식품의 기준 및 규격」제3.2.2-26 마리골드꽃추출물에 따름
제2025-8호,60 (mg/일),60 (mg/일),mg/일,마키베리추출물(제2025-8호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(당뇨병 치료제, 항응고제, 항혈소판제 등) 복용 시 전문가와 상담할 것","(국문) 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
(영문) May help to maintain eyes healthy by relieving dryness"
제2025-9호,900 (mg/일),900 (mg/일),mg/일,티아이소크라이시스루테아분말(제2025-9호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
(영문) May help to maintain eyes healthy by relieving dryness"
제2026-10호,10 (mg/일),10 (mg/일),mg/일,Latilactobacillus sakei K040706 열처리배양건조물(노바사케이)(제2026-10호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 면역기능 증진에 도움을 줄 수 있음
(영문) May help to improve immune function"
제2026-12호,"1,000 (mg/일)","1,000 (mg/일)",mg/일,구기자나무뿌리껍질추출분말(제2026-12호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 잇몸 건강에 도움을 줄 수 있음
(영문) May help to improve gum health"
제2026-13호,"5,000,000,000 (CFU)","5,000,000,000 (CFU)",CFU,Lactobacillus delbrueckii subsp. lactis CKDB001 프로바이오틱스(제2026-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 노화로 인해 저하된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by aging"
제2026-16호,"1,200 (mg/일)","1,200 (mg/일)",mg/일,콘드로이친황산염(제2026-16호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 수술 전후 또는 항응고제, 항혈소판제, 비스테로이드계 항염증약 복용자는 섭취 전 전문의와 상담할 것
(5) 천식이 있는 사람은 섭취 전 전문의와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain joint and cartilage health"
제2026-18호,500 (mg/일),500 (mg/일),mg/일,자색옥수수속대·포엽추출분말(제2026-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
(영문) May help to maintain eyes healthy by relieving dryness"
제2026-19호,300 (mg/일),300 (mg/일),mg/일,프로바이오틱스(Lactiplantibacillus plantarum Q180)·미세조류(Phaeodactylum tricornutum) 복합물(CKDB-322)(제2026-19호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정 질환(알레르기 체질, 단장 증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2026-1호,"100,000,000,000 (CFU)","100,000,000,000 (CFU)",CFU,Lactococcus lactis subsp. lactis CAB701 프로바이오틱스(제2026-1호),"(1) 영·유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(5) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
